item_id,title,author_last,author_first,gr_id,cover_img_url
0,of mice and men,steinbeck, john,8136985,https://images.gr-assets.com/books/1489067722m/8136985.jpg
1,the unforgotten a novel,powell, laura,10844367,https://images.gr-assets.com/books/1329442269m/10844367.jpg
2,star wars the clone wars ,hibbert, clare,2919938,https://images.gr-assets.com/books/1320436801m/2919938.jpg
3,star wars the clone wars ,beecroft, simon ,2919938,https://images.gr-assets.com/books/1320436801m/2919938.jpg
4,wow the pop up book of sports,foster, bruce ,1811975,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5,iguanodon,olshevsky, george,6068557,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6,dinosaurs and prehistoric animals,wellfare, graham,16181680,https://images.gr-assets.com/books/1357636876m/16181680.jpg
7,the workhouse girl,stirling, jessica,3925836,https://images.gr-assets.com/books/1328216841m/3925836.jpg
8,kittens first full moon,henkes, kevin,237665,https://images.gr-assets.com/books/1400866970m/237665.jpg
9,the berenstain bears and the missing dinosaur bone,berenstain, stan,310070,https://images.gr-assets.com/books/1344369113m/310070.jpg
10,the three little pigs,galdone, paul ,140131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11,vital signs ,cook, robin,236513,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
12,dear zoo,campbell, rod,29636681,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
13,if you give a mouse a cookie,numeroff, laura joffe ,767680,https://images.gr-assets.com/books/1276046901m/767680.jpg
14,haunted halloween,krones, c a ,11212021,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
15,the story of jonah,davidson, alice joyce ,459857,https://images.gr-assets.com/books/1328846842m/459857.jpg
16,stories from the bible,woolf, alex,2573057,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
17,star wars absolutely everything you need to know,bray, adam,468595,https://images.gr-assets.com/books/1320467317m/468595.jpg
18,lego dc comics super heroes the awesome guide,scott, cavan,16195541,https://images.gr-assets.com/books/1357704177m/16195541.jpg
19,the one hundred and one dalmatians,disney, walt,830613,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
20,the stowaway,murray, james s ,842131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
21,the guardians,grisham, john,4827840,https://images.gr-assets.com/books/1336281055m/4827840.jpg
22,miracle,steel, danielle,26508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
23,rogue,steel, danielle ,16101109,https://images.gr-assets.com/books/1406808088m/16101109.jpg
24,diamond in the rough,turano, jen,24969349,https://images.gr-assets.com/books/1424323697m/24969349.jpg
25,an irish hostage,todd, charles,464124,https://images.gr-assets.com/books/1346869861m/464124.jpg
26,the shade of my own tree,williams, sheila,15471,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
27,the hidden wrath,phillips, stella ,32201400,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
28,the trustworthy one,gray, shelley shepard,33287119,https://images.gr-assets.com/books/1481146574m/33287119.jpg
29,disclosure a novel,crichton, michael,7675,https://images.gr-assets.com/books/1398678136m/7675.jpg
